,Suburb_id,Suburb,Postcode,LGA,City,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
533,533,Scheyville,2756,City of Hawkesbury,Sydney,Park,,,,,,,,,
534,534,Schofields,2762,City of Blacktown,Sydney,,,,,,,,,,
535,535,Seaforth,2092,Northern Beaches Council,Sydney,Bakery,Hotel,Event Service,Fish Market,,,,,,
536,536,Sefton,2162,Canterbury-Bankstown Council,Sydney,Park,Pub,,,,,,,,
537,537,Seven Hills,2147,City of Blacktown,Sydney,Supermarket,Fast Food Restaurant,Frame Store,Shopping Mall,Gym,Café,Donut Shop,,,
538,538,Shalvey,2770,City of Blacktown,Sydney,Art Gallery,Gas Station,,,,,,,,
539,539,Shanes Park,2747,City of Blacktown,Sydney,,,,,,,,,,
540,540,Silverwater,2128,City of Parramatta Council,Sydney,Electronics Store,Café,Sandwich Place,Furniture / Home Store,Pharmacy,Fast Food Restaurant,,,,
541,541,Smeaton Grange,2567,Camden Council ,Sydney,Gym / Fitness Center,Auto Garage,Gift Shop,,,,,,,
542,542,Smithfield,2164,"City of Fairfield, Cumberland Council, New South Wales",Sydney,Fast Food Restaurant,Supermarket,Park,General Entertainment,Portuguese Restaurant,Sandwich Place,Middle Eastern Restaurant,Turkish Restaurant,Gym / Fitness Center,Italian Restaurant
543,543,South Coogee,2034,City of Randwick,Sydney,Bakery,Trail,Café,Pool,,,,,,
544,544,South Granville,2142,"Cumberland Council, New South Wales",Sydney,Middle Eastern Restaurant,Athletics & Sports,,,,,,,,
545,545,South Hurstville,2221,Georges River Council,Sydney,Falafel Restaurant,Pub,Thai Restaurant,General Entertainment,Grocery Store,Electronics Store,Convenience Store,Pizza Place,Indian Restaurant,Farmers Market
546,546,South Maroota,2756,The Hills Shire,Sydney,,,,,,,,,,
547,547,South Penrith,2750,Penrith City Council,Sydney,Pub,Home Service,Video Store,Fish & Chips Shop,,,,,,
548,548,South Turramurra,2074,Ku-ring-gai Council,Sydney,Baseball Field,,,,,,,,,
549,549,South Wentworthville,2145,"Cumberland Council, New South Wales",Sydney,Supermarket,Fast Food Restaurant,Paper / Office Supplies Store,Gym,Shopping Mall,Liquor Store,Business Service,Steakhouse,,
550,550,Spring Farm,2570,Camden Council ,Sydney,Park,Lake,,,,,,,,
551,551,St Andrews,2566,City of Campbelltown ,Sydney,Shopping Mall,Chinese Restaurant,Convenience Store,Pizza Place,,,,,,
552,552,St Clair,2759,Penrith City Council,Sydney,BBQ Joint,,,,,,,,,
553,553,St Helens Park,2560,City of Campbelltown ,Sydney,Dog Run,Baseball Field,Massage Studio,,,,,,,
554,554,St Ives,2075,Ku-ring-gai Council,Sydney,,,,,,,,,,
555,555,St Ives Chase,2075,Ku-ring-gai Council,Sydney,Shopping Mall,Airport,Ice Cream Shop,Pizza Place,,,,,,
556,556,St Johns Park,2176,City of Fairfield,Sydney,Photography Studio,Soccer Field,Park,,,,,,,
557,557,St Leonards,2065,"City of Willoughby, Municipality of Lane Cove, North Sydney Council",Sydney,Café,Vietnamese Restaurant,Gym,Chinese Restaurant,Pub,Sushi Restaurant,Noodle House,Office,Souvlaki Shop,Thai Restaurant
558,558,St Marys,2760,City of Penrith,Sydney,Supermarket,Department Store,Gym,Fast Food Restaurant,Pharmacy,Thai Restaurant,Big Box Store,Sports Bar,Pizza Place,Shopping Mall
559,559,St Peters,2044,"Inner West Council, City of Sydney",Sydney,Fast Food Restaurant,Brewery,Grocery Store,Recreation Center,Café,Hotel,Pet Store,Pub,Gym,
560,560,Stanhope Gardens,2768,Blacktown,Sydney,Business Service,,,,,,,,,
561,561,Stanmore,2048,Inner West Council,Sydney,Café,Restaurant,Park,Pub,,,,,,
562,562,Strathfield,2135,"Municipality of Strathfield, City of Canada Bay, Burwood Council",Sydney,Astrologer,,,,,,,,,
563,563,Strathfield South,2136,Municipality of Strathfield,Sydney,Business Service,Pharmacy,Chinese Restaurant,Park,Greek Restaurant,Hotel,,,,
564,564,Summer Hill,2130,Inner West Council,Sydney,Café,Farmers Market,Burger Joint,Pizza Place,Train Station,Platform,Bar,Bakery,Grocery Store,Thai Restaurant
565,565,Surry Hills,2010,City of Sydney,Sydney,Café,Pub,Japanese Restaurant,Pizza Place,Vietnamese Restaurant,Lebanese Restaurant,Breakfast Spot,Vegetarian / Vegan Restaurant,Karaoke Bar,Thai Restaurant
566,566,Sutherland,2232,Sutherland Shire,Sydney,Café,Thai Restaurant,Park,Pub,Convenience Store,Sandwich Place,Thrift / Vintage Store,Farmers Market,Gastropub,Deli / Bodega
567,567,Sydenham,2044,Inner West Council,Sydney,Café,Fish Market,Platform,Pet Store,Fast Food Restaurant,Gym,Grocery Store,Speakeasy,,
568,568,Sydney Olympic Park,2127,City of Parramatta,Sydney,Café,Hotel,Australian Restaurant,Vietnamese Restaurant,Thai Restaurant,Steakhouse,Athletics & Sports,Pizza Place,Restaurant,Sushi Restaurant
569,569,Sylvania,2224,Sutherland Shire,Sydney,Café,Supermarket,Cupcake Shop,Donut Shop,Breakfast Spot,Bowling Alley,Gym,Liquor Store,Video Game Store,Sandwich Place
570,570,Sylvania Waters,2224,Sutherland Shire,Sydney,Athletics & Sports,Café,Golf Course,,,,,,,
571,571,Tamarama,2026,Waverley Council,Sydney,Café,Beach,Australian Restaurant,Park,Scenic Lookout,Pizza Place,Hostel,Playground,Middle Eastern Restaurant,American Restaurant
572,572,Taren Point,2229,Sutherland Shire,Sydney,Café,Bowling Green,Flower Shop,Department Store,Paper / Office Supplies Store,Athletics & Sports,Burger Joint,Pier,,
573,573,Telopea,2117,City of Parramatta,Sydney,Playground,Bakery,Malay Restaurant,Train Station,,,,,,
574,574,Tempe,2044,Inner West Council,Sydney,Golf Course,Bus Station,Train Station,Gas Station,Pub,Food Truck,,,,
575,575,Tennyson,2754,City of Hawkesbury,Sydney,,,,,,,,,,
576,576,Tennyson Point,2111,City of Ryde,Sydney,Gift Shop,Park,,,,,,,,
577,577,Terrey Hills,2084,Northern Beaches Council,Sydney,Japanese Restaurant,Grocery Store,Fast Food Restaurant,Park,Café,Bus Stop,,,,
578,578,The Rocks,2000,City of Sydney,Sydney,Café,Hotel,Australian Restaurant,Pub,Hotel Bar,Sandwich Place,Steakhouse,Cocktail Bar,Park,Italian Restaurant
579,579,The Slopes,2754,City of Hawkesbury,Sydney,,,,,,,,,,
580,580,Thornleigh,2120,Hornsby Shire,Sydney,Gym / Fitness Center,Thai Restaurant,Café,Golf Course,Hotel,Asian Restaurant,Athletics & Sports,Pizza Place,Soccer Field,Fast Food Restaurant
581,581,Toongabbie,2146,"City of Blacktown, City of Parramatta, Cumberland Council, New South Wales",Sydney,Platform,Train Station,Bar,Gym / Fitness Center,Café,,,,,
582,582,Tregear,2770,City of Blacktown,Sydney,,,,,,,,,,
583,583,Turramurra,2074,Ku-ring-gai Council,Sydney,Bakery,Liquor Store,Pharmacy,Café,Pizza Place,Bar,Bus Station,Seafood Restaurant,Persian Restaurant,Thai Restaurant
584,584,Turrella,2205,Bayside Council,Sydney,Train Station,Park,Burger Joint,Platform,,,,,,
585,585,Ultimo,2007,City of Sydney,Sydney,Café,Bar,Ice Cream Shop,Dumpling Restaurant,Hotel,Multiplex,Trail,Malay Restaurant,Basketball Court,Gym / Fitness Center
586,586,Varroville,2566,City of Campbelltown ,Sydney,,,,,,,,,,
587,587,Vaucluse,2030,"Waverley Council, Woollahra Council",Sydney,Beach,Historic Site,History Museum,Café,,,,,,
588,588,Villawood,2163,"Canterbury-Bankstown Council, City of Fairfield",Sydney,Train Station,Café,Electronics Store,Gym,Liquor Store,Bowling Alley,Racetrack,,,
589,589,Vineyard,2765,"City of Blacktown, City of Hawkesbury",Sydney,Pet Store,Train Station,,,,,,,,
590,590,Voyager Point,2172,City of Liverpool ,Sydney,Lake,,,,,,,,,
591,591,Waitara,2077,Hornsby Shire,Sydney,Sports Club,Park,Pub,Indian Restaurant,Rental Car Location,Gym,BBQ Joint,Thai Restaurant,Turkish Restaurant,Sports Bar
592,592,Wakeley,2176,City of Fairfield,Sydney,Pizza Place,Sports Bar,,,,,,,,
593,593,Wallacia,2745,"Penrith City Council, Liverpool City Council",Sydney,Campground,Lake,Hotel Bar,Health & Beauty Service,Rest Area,,,,,
594,594,Wareemba,2046,City of Canada Bay,Sydney,Italian Restaurant,Café,Grocery Store,Burger Joint,Liquor Store,Thai Restaurant,Pizza Place,,,
595,595,Warrawee,2074,Ku-ring-gai Council,Sydney,Tennis Court,Beach,,,,,,,,
596,596,Warriewood,2102,Northern Beaches Council,Sydney,Flower Shop,,,,,,,,,
597,597,Warwick Farm,2170,City of Liverpool ,Sydney,Steakhouse,Fast Food Restaurant,Platform,Train Station,Discount Store,Café,Arts & Crafts Store,Racetrack,,
598,598,Waterfall,2233,Sutherland Shire,Sydney,Campground,,,,,,,,,
599,599,Waterloo,2017,City of Sydney,Sydney,Café,Grocery Store,Japanese Restaurant,Art Gallery,Park,Fast Food Restaurant,Gym,Thai Restaurant,Bar,Wine Bar
600,600,Watsons Bay,2030,Woollahra,Sydney,Park,Harbor / Marina,Seafood Restaurant,Scenic Lookout,National Park,Pier,Fish & Chips Shop,Beer Garden,Beach,Trail
601,601,Wattle Grove,2173,City of Liverpool ,Sydney,Lake,Bar,Playground,,,,,,,
602,602,Waverley,2024,Waverley Municipal Council,Sydney,Convenience Store,Pub,Café,Pizza Place,Diner,Vietnamese Restaurant,Bowling Green,Indian Restaurant,,
603,603,Waverton,2060,North Sydney Council,Sydney,Café,Platform,Scenic Lookout,Bowling Green,Park,Indian Restaurant,Wine Shop,Thai Restaurant,Grocery Store,
604,604,Wedderburn,2560,City of Campbelltown ,Sydney,,,,,,,,,,
605,605,Wentworth Point,2127,City of Parramatta,Sydney,Café,Shopping Mall,Grocery Store,Scenic Lookout,Plaza,Restaurant,Thai Restaurant,Park,Gym / Fitness Center,Italian Restaurant
606,606,Wentworthville,2145,"City of Parramatta, Cumberland Council, New South Wales",Sydney,Indian Restaurant,Shopping Mall,Thai Restaurant,Grocery Store,Café,Gourmet Shop,Pizza Place,Sandwich Place,Fish & Chips Shop,Bakery
607,607,Werrington,2747,Penrith City Council,Sydney,Bar,,,,,,,,,
608,608,Werrington County,2747,Penrith City Council,Sydney,Fast Food Restaurant,Seafood Restaurant,,,,,,,,
609,609,Werrington Downs,2747,City of Penrith,Sydney,,,,,,,,,,
610,610,West Hoxton,2171,City of Liverpool ,Sydney,,,,,,,,,,
611,611,West Pennant Hills,2125,"The Hills Shire, Hornsby Shire",Sydney,Bakery,Supermarket,Park,Soccer Field,Asian Restaurant,,,,,
612,612,West Pymble,2073,Ku-ring-gai Council,Sydney,Italian Restaurant,Liquor Store,Café,Grocery Store,Basketball Court,Shopping Mall,Brewery,,,
613,613,West Ryde,2114,City of Ryde,Sydney,Pizza Place,Japanese Restaurant,BBQ Joint,Martial Arts Dojo,Pharmacy,Miscellaneous Shop,Gym,Korean Restaurant,,
614,614,Westleigh,2120,Hornsby Shire,Sydney,Italian Restaurant,Shopping Mall,Chinese Restaurant,Park,Thrift / Vintage Store,,,,,
615,615,Westmead,2145,"Cumberland Council, New South Wales",Sydney,Café,Fast Food Restaurant,Thai Restaurant,Sandwich Place,,,,,,
616,616,Wetherill Park,2164,City of Fairfield,Sydney,Bowling Alley,Pizza Place,Burger Joint,Thai Restaurant,,,,,,
617,617,Whalan,2770,City of Blacktown,Sydney,Pharmacy,Convenience Store,Home Service,,,,,,,
618,618,Whale Beach,2107,Northern Beaches Council,Sydney,Café,Beach,Scenic Lookout,Fish & Chips Shop,Sandwich Place,Playground,,,,
619,619,Wheeler Heights,2097,Northern Beaches Council,Sydney,Sandwich Place,Gourmet Shop,Food & Drink Shop,Antique Shop,,,,,,
620,620,Wilberforce,2756,City of Hawkesbury,Sydney,Food,River,Indian Restaurant,Gym,Pizza Place,Fast Food Restaurant,,,,
621,621,Wiley Park,2195,Canterbury-Bankstown Council,Sydney,Fast Food Restaurant,Train Station,Middle Eastern Restaurant,Paper / Office Supplies Store,Café,,,,,
622,622,Willmot,2770,City of Blacktown,Sydney,Playground,,,,,,,,,
623,623,Willoughby,2068,City of Willoughby,Sydney,Café,Pizza Place,Japanese Restaurant,Gym / Fitness Center,Playground,Fish & Chips Shop,Thai Restaurant,Bus Station,Park,Restaurant
624,624,Willoughby East,2068,City of Willoughby,Sydney,Bus Station,Park,Playground,,,,,,,
625,625,Windsor,2756,City of Hawkesbury,Sydney,Gym,Café,Pizza Place,Video Store,,,,,,
626,626,Windsor Downs,2756,City of Hawkesbury,Sydney,,,,,,,,,,
627,627,Winston Hills,2153,"City of Parramatta, The Hills Shire",Sydney,Chinese Restaurant,Soccer Field,Park,Bus Station,,,,,,
628,628,Wolli Creek,2205,Bayside Council,Sydney,Chinese Restaurant,Café,Gym / Fitness Center,Park,Asian Restaurant,Dumpling Restaurant,Liquor Store,Platform,Pizza Place,Supermarket
629,629,Wollstonecraft,2065,North Sydney Council,Sydney,Park,Café,Platform,Train Station,Pet Store,,,,,
630,630,Woodbine,2560,City of Campbelltown ,Sydney,Government Building,,,,,,,,,
631,631,Woodcroft,2767,City of Blacktown,Sydney,Bus Stop,Bar,Park,,,,,,,
632,632,Woodpark,2164,"Cumberland Council, New South Wales",Sydney,Bus Station,Convenience Store,Café,Bakery,,,,,,
633,633,Woollahra,2025,Municipality of Woollahra,Sydney,Café,Deli / Bodega,Park,Italian Restaurant,Bakery,Market,Australian Restaurant,Bar,Fried Chicken Joint,Pub
634,634,Woolloomooloo,2011,City of Sydney,Sydney,Café,Italian Restaurant,Hotel,Australian Restaurant,Bar,Thai Restaurant,Pub,Chinese Restaurant,Trail,Park
635,635,Woolooware,2230,Sutherland Shire,Sydney,Health & Beauty Service,Spa,Cupcake Shop,Train Station,Liquor Store,,,,,
636,636,Woolwich,2110,Municipality of Hunter's Hill,Sydney,Harbor / Marina,Park,Bar,Italian Restaurant,Australian Restaurant,Café,,,,
637,637,Woronora,2232,Sutherland Shire,Sydney,River,Park,Home Service,Café,,,,,,
638,638,Woronora Heights,2233,Sutherland Shire,Sydney,Grocery Store,,,,,,,,,
639,639,Yagoona,2199,Canterbury-Bankstown Council,Sydney,Bakery,Train Station,Shopping Mall,Men's Store,Convenience Store,Park,Fast Food Restaurant,Grocery Store,Café,
640,640,Yarramundi,2753,City of Hawkesbury,Sydney,,,,,,,,,,
641,641,Yarrawarrah,2233,Sutherland Shire,Sydney,Park,,,,,,,,,
642,642,Yennora,2161,"City of Fairfield, Cumberland Council, New South Wales",Sydney,Surf Spot,,,,,,,,,
643,643,Yowie Bay,2228,Sutherland Shire,Sydney,Brewery,Park,Liquor Store,,,,,,,
644,644,Zetland,2017,City of Sydney,Sydney,Café,Park,Pizza Place,Japanese Restaurant,Mexican Restaurant,BBQ Joint,Bakery,Bubble Tea Shop,Gym,Grocery Store
645,645,Cornwallis,2756,City of Hawkesbury,Sydney,,,,,,,,,,
646,646,Forest Glen,2157,Hornsby Shire,Sydney,,,,,,,,,,
647,647,Macquarie Links,2565,City of Campbelltown ,Sydney,Golf Course,,,,,,,,,
648,648,Minchinbury,2770,City of Blacktown,Sydney,Shopping Mall,Pizza Place,Grocery Store,Fish & Chips Shop,,,,,,
649,649,North Kellyville,2155,The Hills Shire,Sydney,Shopping Plaza,Bakery,Supermarket,Garden Center,,,,,,
650,650,Norwest,2153,The Hills Shire,Sydney,Café,Japanese Restaurant,Hotel,Liquor Store,Restaurant,Pizza Place,Salad Place,Seafood Restaurant,Chinese Restaurant,Shopping Mall
651,651,Picnic Point,2213,Canterbury-Bankstown Council,Sydney,Chinese Restaurant,,,,,,,,,
652,652,Pitt Town Bottoms,2756,City of Hawkesbury,Sydney,,,,,,,,,,
653,653,Pleasure Point,2172,City of Liverpool ,Sydney,,,,,,,,,,
654,654,South Windsor,2756,City of Hawkesbury,Sydney,Bowling Alley,Pub,Basketball Stadium,Sports Club,,,,,,
655,655,Wisemans Ferry,2775,"City of Hawkesbury, The Hills Shire, Hornsby Shire, Central Coast Council ",Sydney,Boat or Ferry,River,Pub,Park,,,,,,
656,656,Acacia Ridge,4110,"City of Brisbane, Moorooka Ward",Brisbane,,,,,,,,,,
657,657,Albany Creek,4035,Moreton Bay Region,Brisbane,Fast Food Restaurant,Portuguese Restaurant,Gym,Sandwich Place,Liquor Store,Australian Restaurant,Pizza Place,Fish & Chips Shop,Pub,Ice Cream Shop
658,658,Albion,4010,"Hamilton Ward , City of Brisbane",Brisbane,Café,Fast Food Restaurant,Bakery,Sandwich Place,Gift Shop,Comedy Club,Turkish Restaurant,Pub,Indian Restaurant,Train Station
659,659,Alderley,4051,"City of Brisbane, Enoggera Ward, Marchant Ward",Brisbane,Performing Arts Venue,Thai Restaurant,Athletics & Sports,Grocery Store,Pizza Place,Train Station,,,,
660,660,Alexandra Hills,4161,Redland City,Brisbane,Supermarket,Sandwich Place,Fast Food Restaurant,Liquor Store,Video Store,,,,,
661,661,Algester,4115,"City of Brisbane, Calamvale Ward",Brisbane,Market,Bus Station,,,,,,,,
662,662,Amberley,4306,City of Ipswich,Brisbane,History Museum,,,,,,,,,
663,663,Annerley,4103,"Coorparoo Ward, City of Brisbane, Tennyson Ward",Brisbane,Café,Sandwich Place,Dance Studio,Supermarket,Gym / Fitness Center,Fast Food Restaurant,Camera Store,Comic Shop,,
664,664,Anstead,4070,"Pullenvale Ward, City of Brisbane",Brisbane,,,,,,,,,,
665,665,Arana Hills,4054,Moreton Bay Region,Brisbane,Supermarket,Café,Sushi Restaurant,Pizza Place,Gym,Park,Chinese Restaurant,Pharmacy,Fast Food Restaurant,Liquor Store
666,666,Archerfield,4108,"Moorooka Ward, City of Brisbane",Brisbane,Train Station,Cosmetics Shop,Construction & Landscaping,Miscellaneous Shop,,,,,,
667,667,Armstrong Creek,4520,Moreton Bay Region,Brisbane,,,,,,,,,,
668,668,Ascot,4007,"Hamilton Ward , City of Brisbane",Brisbane,Café,Burger Joint,Japanese Restaurant,Bakery,Grocery Store,Flea Market,Pizza Place,Supermarket,Thai Restaurant,Italian Restaurant
669,669,Ashgrove,4060,"Enoggera Ward, City of Brisbane, The Gap Ward",Brisbane,Restaurant,Park,Rugby Pitch,Playground,,,,,,
670,670,Ashwell,4340,City of Ipswich,Brisbane,,,,,,,,,,
671,671,Aspley,4034,"McDowall Ward, Marchant Ward, Bracken Ridge Ward, City of Brisbane",Brisbane,Pizza Place,Supermarket,Ice Cream Shop,Bakery,Sushi Restaurant,Fast Food Restaurant,Grocery Store,Gym,Mexican Restaurant,Chinese Restaurant
672,672,Auchenflower,4066,"Paddington Ward, City of Brisbane",Brisbane,Pizza Place,Deli / Bodega,Fruit & Vegetable Store,Thai Restaurant,Bus Stop,Mexican Restaurant,Bakery,French Restaurant,Restaurant,
673,673,Augustine Heights,4300,City of Ipswich,Brisbane,Fast Food Restaurant,Mexican Restaurant,Café,,,,,,,
674,674,Bahrs Scrub,4207,Logan City,Brisbane,,,,,,,,,,
675,675,Bald Hills,4036,"Bracken Ridge Ward, City of Brisbane",Brisbane,Fish & Chips Shop,Moving Target,,,,,,,,
676,676,Balmoral,4171,"City of Brisbane, Morningside Ward",Brisbane,,,,,,,,,,
677,677,Banksia Beach,4507,Moreton Bay Region,Brisbane,Pet Store,Shopping Mall,,,,,,,,
678,678,Bannockburn,4207,Logan City,Brisbane,,,,,,,,,,
679,679,Banyo,4014,"Northgate Ward, City of Brisbane",Brisbane,Café,Burrito Place,,,,,,,,
680,680,Bardon,4065,"City of Brisbane, The Gap Ward, Paddington Ward",Brisbane,Playground,Pharmacy,Convenience Store,Park,,,,,,
681,681,Barellan Point,4306,City of Ipswich,Brisbane,,,,,,,,,,
682,682,Basin Pocket,4305,City of Ipswich,Brisbane,Sandwich Place,,,,,,,,,
683,683,Beachmere,4510,Moreton Bay Region,Brisbane,Shopping Mall,Liquor Store,Sports Bar,Grocery Store,,,,,,
684,684,Beenleigh,4207,Logan City,Brisbane,Stadium,Discount Store,,,,,,,,
685,685,Belivah,4207,Logan City,Brisbane,,,,,,,,,,
686,686,Bellara,4507,Moreton Bay Region,Brisbane,Shopping Mall,Supermarket,Café,Sandwich Place,,,,,,
687,687,Bellbird Park,4300,City of Ipswich,Brisbane,Health & Beauty Service,,,,,,,,,
688,688,Bellbowrie,4070,"Pullenvale Ward, City of Brisbane",Brisbane,Fast Food Restaurant,,,,,,,,,
689,689,Bellmere,4510,Moreton Bay Region,Brisbane,Burger Joint,,,,,,,,,
690,690,Belmont,4153,"Chandler Ward, Doboy Ward, City of Brisbane",Brisbane,Gun Range,,,,,,,,,
691,691,Berrinba,4117,Logan City,Brisbane,,,,,,,,,,
692,692,Bethania,4205,Logan City,Brisbane,Train Station,,,,,,,,,
693,693,Birkdale,4159,City of Redland,Brisbane,Shopping Mall,,,,,,,,,
694,694,Blackstone,4304,City of Ipswich,Brisbane,,,,,,,,,,
695,695,Bongaree,4507,Moreton Bay Region,Brisbane,Seafood Restaurant,Pier,Ice Cream Shop,Fish & Chips Shop,,,,,,
696,696,Booval,4304,City of Ipswich,Brisbane,Australian Restaurant,Fast Food Restaurant,Shopping Mall,Seafood Restaurant,Furniture / Home Store,Supermarket,Department Store,,,
697,697,Boronia Heights,4124,Logan City,Brisbane,Park,,,,,,,,,
698,698,Bowen Hills,4006,"Central Ward , City of Brisbane",Brisbane,Café,Train Station,Gym,Sandwich Place,Asian Restaurant,Platform,Theater,Vietnamese Restaurant,,
699,699,Bracalba,4512,Moreton Bay Region,Brisbane,,,,,,,,,,
700,700,Bracken Ridge,4017,"City of Brisbane, Bracken Ridge Ward",Brisbane,Men's Store,Home Service,Bus Station,,,,,,,
701,701,Brassall,4305,City of Ipswich,Brisbane,,,,,,,,,,
702,702,Bray Park,4500,Moreton Bay Region,Brisbane,,,,,,,,,,
703,703,Brendale,4500,Moreton Bay Region,Brisbane,,,,,,,,,,
704,704,Bridgeman Downs,4035,"McDowall Ward, City of Brisbane",Brisbane,Music Venue,Park,,,,,,,,
705,705,Brighton,4017,"Deagon Ward, City of Brisbane",Brisbane,Furniture / Home Store,,,,,,,,,
706,706,Brookfield,4069,"City of Brisbane, Pullenvale Ward",Brisbane,,,,,,,,,,
707,707,Brookwater,4300,City of Ipswich,Brisbane,Brewery,Australian Restaurant,Golf Course,,,,,,,
708,708,Browns Plains,4118,Logan City,Brisbane,Outdoor Supply Store,Thrift / Vintage Store,Gas Station,Sporting Goods Shop,,,,,,
709,709,Buccan,4207,Logan City,Brisbane,,,,,,,,,,
710,710,Bulimba,4171,"Morningside Ward, City of Brisbane",Brisbane,Café,Italian Restaurant,Sushi Restaurant,Burger Joint,Movie Theater,Restaurant,Mexican Restaurant,French Restaurant,Beer Bar,BBQ Joint
711,711,Bundamba,4304,City of Ipswich,Brisbane,,,,,,,,,,
712,712,Bunya,4055,Moreton Bay Region,Brisbane,,,,,,,,,,
713,713,Burbank,4156,"City of Brisbane, Chandler Ward",Brisbane,Trail,,,,,,,,,
714,714,Burpengary,4505,Moreton Bay Region,Brisbane,Train Station,Pharmacy,Liquor Store,Grocery Store,,,,,,
715,715,Caboolture,4510,Moreton Bay Region,Brisbane,,,,,,,,,,
716,716,Caboolture South,4510,Moreton Bay Region,Brisbane,,,,,,,,,,
717,717,Calamvale,4116,"City of Brisbane, Calamvale Ward",Brisbane,Thai Restaurant,Malay Restaurant,Pizza Place,Liquor Store,Café,Convenience Store,Indian Restaurant,Bakery,Sandwich Place,
718,718,Calvert,4340,City of Ipswich,Brisbane,,,,,,,,,,
719,719,Camira,4300,City of Ipswich,Brisbane,Pizza Place,,,,,,,,,
720,720,Camp Hill,4152,"Morningside Ward, Coorparoo Ward, City of Brisbane",Brisbane,Shopping Mall,Indian Restaurant,Pizza Place,Burger Joint,Ice Cream Shop,Liquor Store,Deli / Bodega,Supermarket,,
721,721,Camp Mountain,4520,Moreton Bay Region,Brisbane,,,,,,,,,,
722,722,Cannon Hill,4170,"Doboy Ward, City of Brisbane, Morningside Ward",Brisbane,Café,Fast Food Restaurant,Sushi Restaurant,Supermarket,Shopping Mall,Department Store,Malay Restaurant,Pharmacy,Bus Station,Sporting Goods Shop
723,723,Capalaba,4157,Redland City,Brisbane,Department Store,Fast Food Restaurant,Café,Supermarket,Mexican Restaurant,Sandwich Place,Bus Station,Shopping Mall,Greek Restaurant,Electronics Store
724,724,Carbrook,4130,Logan City,Brisbane,,,,,,,,,,
725,725,Carina,4152,"City of Brisbane, Doboy Ward",Brisbane,Playground,Convenience Store,Athletics & Sports,Café,Bakery,,,,,
726,726,Carindale,4152,"Chandler Ward, City of Brisbane",Brisbane,Bus Station,,,,,,,,,
727,727,Carole Park,4300,City of Ipswich,Brisbane,,,,,,,,,,
728,728,Carseldine,4034,"Bracken Ridge Ward, City of Brisbane",Brisbane,Café,Sushi Restaurant,Flower Shop,Gym,Fish & Chips Shop,Bus Stop,Shopping Mall,Tennis Court,Pizza Place,Bakery
729,729,Cashmere,4500,Moreton Bay Region,Brisbane,,,,,,,,,,
730,730,Cedar Grove,4285,Logan City,Brisbane,,,,,,,,,,
731,731,Cedar Vale,4285,Logan City,Brisbane,,,,,,,,,,
732,732,Chambers Flat,4133,Logan City,Brisbane,Insurance Office,,,,,,,,,
733,733,Chandler,4155,"City of Brisbane, Chandler Ward",Brisbane,Sporting Goods Shop,Diner,,,,,,,,
734,734,Chapel Hill,4069,"City of Brisbane, Walter Taylor Ward, Pullenvale Ward",Brisbane,Art Gallery,Liquor Store,Bus Station,,,,,,,
735,735,Chelmer,4068,"Tennyson Ward, City of Brisbane",Brisbane,Japanese Restaurant,Ice Cream Shop,Café,Pizza Place,Thai Restaurant,Train Station,,,,
736,736,Chermside,4032,"Marchant Ward, City of Brisbane, Northgate Ward",Brisbane,Café,Fast Food Restaurant,Department Store,Burger Joint,Mexican Restaurant,Sandwich Place,Big Box Store,Food Court,German Restaurant,Movie Theater
737,737,Chermside West,4032,"City of Brisbane, Marchant Ward, McDowall Ward",Brisbane,Indian Restaurant,Bus Station,Park,Gym,,,,,,
738,738,Churchill,4305,City of Ipswich,Brisbane,Auto Garage,,,,,,,,,
739,739,Chuwar,4306,"Pullenvale Ward, City of Brisbane, City of Ipswich",Brisbane,,,,,,,,,,
740,740,Clayfield,4011,"Hamilton Ward , City of Brisbane",Brisbane,Bakery,Pizza Place,Sushi Restaurant,Motel,Thai Restaurant,Fast Food Restaurant,Grocery Store,Train Station,Chinese Restaurant,Seafood Restaurant
741,741,Clear Mountain,4500,Moreton Bay Region,Brisbane,,,,,,,,,,
742,742,Cleveland,4163,Redland City,Brisbane,History Museum,,,,,,,,,
743,743,Clontarf,4019,Moreton Bay Region,Brisbane,Fast Food Restaurant,Indian Restaurant,Home Service,Park,,,,,,
744,744,Closeburn,4520,Moreton Bay Region,Brisbane,,,,,,,,,,
745,745,Coalfalls,4305,City of Ipswich,Brisbane,Pub,,,,,,,,,
746,746,Collingwood Park,4301,City of Ipswich,Brisbane,Grocery Store,,,,,,,,,
747,747,Coopers Plains,4108,"City of Brisbane, Moorooka Ward",Brisbane,Train Station,Bakery,Asian Restaurant,Platform,,,,,,
748,748,Coorparoo,4151,"City of Brisbane, Coorparoo Ward",Brisbane,Bus Station,Fish & Chips Shop,Café,,,,,,,
749,749,Corinda,4075,"Tennyson Ward, City of Brisbane",Brisbane,Sandwich Place,Café,Pizza Place,Pool,,,,,,
750,750,Cornubia,4130,Logan City,Brisbane,,,,,,,,,,
751,751,Crestmead,4132,Logan City,Brisbane,,,,,,,,,,
752,752,D'Aguilar,4514,Moreton Bay Region,Brisbane,,,,,,,,,,
