,Suburb_id,Suburb,Postcode,LGA,City,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
46,46,Bellevue Hill,2023,Municipality of Woollahra,Sydney,BBQ Joint,Pizza Place,Park,Flea Market,,,,,,
47,47,Belmore,2192,Canterbury-Bankstown Council,Sydney,Café,Food & Drink Shop,Greek Restaurant,Fish Market,Bakery,Lebanese Restaurant,Pizza Place,Gym / Fitness Center,Football Stadium,Chinese Restaurant
48,48,Belrose,2085,Northern Beaches Council,Sydney,Soccer Field,Pub,Grocery Store,Thai Restaurant,,,,,,
49,49,Berala,2141,"Cumberland Council, New South Wales",Sydney,Train Station,Cosmetics Shop,Asian Restaurant,Café,Middle Eastern Restaurant,Thai Restaurant,Pub,Supermarket,Bakery,
50,50,Berkshire Park,2765,City of Penrith,Sydney,,,,,,,,,,
51,51,Berowra,2081,Hornsby Shire,Sydney,Convenience Store,,,,,,,,,
52,52,Berowra Creek,2082,Hornsby Shire,Sydney,,,,,,,,,,
53,53,Berowra Heights,2082,Hornsby Shire,Sydney,Café,Thai Restaurant,IT Services,Grocery Store,Pizza Place,Burger Joint,Shopping Mall,Pub,Supermarket,
54,54,Berowra Waters,2082,Hornsby Shire,Sydney,Seafood Restaurant,Harbor / Marina,Boat or Ferry,,,,,,,
55,55,Berrilee,2159,Hornsby Shire,Sydney,Stables,,,,,,,,,
56,56,Beverley Park,2217,Georges River Council,Sydney,Pizza Place,Sporting Goods Shop,Park,Sports Bar,Restaurant,Golf Course,Dim Sum Restaurant,,,
57,57,Beverly Hills,2209,"Georges River Council, Canterbury-Bankstown Council",Sydney,Café,Chinese Restaurant,Japanese Restaurant,Asian Restaurant,Restaurant,German Restaurant,Gym / Fitness Center,Movie Theater,Souvlaki Shop,Seafood Restaurant
58,58,Bexley,2207,Bayside Council,Sydney,Fruit & Vegetable Store,Music Store,Convenience Store,Pub,Park,,,,,
59,59,Bexley North,2207,Bayside Council,Sydney,Café,Japanese Restaurant,Grocery Store,,,,,,,
60,60,Bidwill,2770,City of Blacktown,Sydney,High School,Bar,Convenience Store,Snack Place,,,,,,
61,61,Bilgola Beach,2107,Northern Beaches Council,Sydney,Café,Beach,Pool,,,,,,,
62,62,Bilgola Plateau,2107,Northern Beaches Council,Sydney,Park,Café,,,,,,,,
63,63,Birchgrove,2041,Inner West Council,Sydney,Café,Pub,Sushi Restaurant,Park,Middle Eastern Restaurant,Pizza Place,Latin American Restaurant,Tapas Restaurant,Seafood Restaurant,Bar
64,64,Birrong,2143,Canterbury-Bankstown Council,Sydney,Train Station,Women's Store,Chinese Restaurant,Scenic Lookout,Grocery Store,,,,,
65,65,Blackett,2770,City of Blacktown,Sydney,Market,Soccer Field,Gym Pool,Fast Food Restaurant,,,,,,
66,66,Blacktown,2148,City of Blacktown,Sydney,Fast Food Restaurant,Café,Sandwich Place,Supermarket,Juice Bar,Multiplex,Thai Restaurant,Gym,Park,Burger Joint
67,67,Blair Athol,2560,City of Campbelltown ,Sydney,Playground,,,,,,,,,
68,68,Blairmount,2559,City of Campbelltown ,Sydney,,,,,,,,,,
69,69,Blakehurst,2221,Georges River Council,Sydney,Sporting Goods Shop,Park,Dim Sum Restaurant,,,,,,,
70,70,Bligh Park,2756,City of Hawkesbury,Sydney,Pet Store,Martial Arts Dojo,Fishing Store,,,,,,,
71,71,Bondi,2026,Waverley Council,Sydney,Café,Park,Pizza Place,Gym,Grocery Store,Bus Stop,Bakery,Chinese Restaurant,Australian Restaurant,Thai Restaurant
72,72,Bondi Beach,2026,Waverley Council,Sydney,Café,Australian Restaurant,Japanese Restaurant,Resort,Ice Cream Shop,Bakery,Italian Restaurant,Beach,Restaurant,Lounge
73,73,Bondi Junction,2022,Waverley Council,Sydney,Café,Japanese Restaurant,Gym,Vegetarian / Vegan Restaurant,Noodle House,Sushi Restaurant,Mexican Restaurant,Electronics Store,Burger Joint,Italian Restaurant
74,74,Bonnet Bay,2226,Sutherland Shire,Sydney,Deli / Bodega,Convenience Store,,,,,,,,
75,75,Bonnyrigg,2177,City of Fairfield,Sydney,Fast Food Restaurant,Park,Pizza Place,Burger Joint,,,,,,
76,76,Bonnyrigg Heights,2177,City of Fairfield,Sydney,Chinese Restaurant,Soccer Field,Sports Bar,,,,,,,
77,77,Bossley Park,2176,City of Fairfield,Sydney,Italian Restaurant,Bar,Park,Buffet,Gym,Pizza Place,,,,
78,78,Botany,2019,Bayside Council,Sydney,Café,Pub,Fried Chicken Joint,Gym,Liquor Store,Grocery Store,Thai Restaurant,Seafood Restaurant,Chinese Restaurant,Falafel Restaurant
79,79,Bow Bowing,2566,City of Campbelltown ,Sydney,Home Service,Tennis Court,,,,,,,,
80,80,Box Hill,2765,The Hills Shire,Sydney,,,,,,,,,,
81,81,Bradbury,2560,City of Campbelltown ,Sydney,Shopping Mall,Furniture / Home Store,Supermarket,Chinese Restaurant,,,,,,
82,82,Breakfast Point,2137,City of Canada Bay,Sydney,Park,Café,Boat or Ferry,Gym / Fitness Center,Pier,Grocery Store,,,,
83,83,Bringelly,2556,"Camden Council , City of Liverpool ",Sydney,Convenience Store,Fast Food Restaurant,,,,,,,,
84,84,Bronte,2024,Waverley Municipal Council,Sydney,Belgian Restaurant,Breakfast Spot,Bakery,Juice Bar,Café,Restaurant,,,,
85,85,Brooklyn,2083,Hornsby Shire,Sydney,Art Gallery,Park,,,,,,,,
86,86,Brookvale,2100,Northern Beaches Council,Sydney,Department Store,Gym,Bakery,Italian Restaurant,Pizza Place,Brewery,Supermarket,Café,Shopping Mall,
87,87,Bundeena,2230,Sutherland Shire,Sydney,Café,Beach,Pub,Pier,Grocery Store,,,,,
88,88,Burraneer,2230,Sutherland Shire,Sydney,Beach,,,,,,,,,
